2026-04-03 22:37:01,664 [INFO] RPA: Avvio sessione per la lega 'serie_a'
2026-04-03 22:37:01,760 [INFO] DB: 630 giocatori caricati.
2026-04-03 22:37:01,764 [INFO] Avvio RPA v9.5-fast: 630 giocatori
2026-04-03 22:37:01,768 [INFO] Backend: http://backend:8000
2026-04-03 22:37:03,005 [WARNING] [PW] playwright-stealth non disponibile
2026-04-03 22:37:03,006 [INFO] [PW] Browser avviato
2026-04-03 22:37:03,008 [INFO] [1/630] Abdelhamid Sabiri
2026-04-03 22:37:03,008 [INFO] ── Abdelhamid Sabiri (ACF Fiorentina) ──
2026-04-03 22:37:03,009 [INFO]   sofascore_id=807400 league=serie_a
2026-04-03 22:37:03,262 [INFO]   [PW] Step 1: acquisizione cookie (homepage)...
2026-04-03 22:37:10,838 [INFO]   [📡] Token intercettato: 24a7a8
2026-04-03 22:37:11,255 [INFO]   [PW] Step 2: profilo + slug player 807400...
2026-04-03 22:37:15,428 [INFO]   [PW] Profilo OK (22 campi) | slug=abdelhamid-sabiri
2026-04-03 22:37:15,933 [INFO]   [PW] Step 3: navigazione profilo: https://www.sofascore.com/player/abdelhamid-sabiri/807400
2026-04-03 22:37:26,223 [INFO]   [📡] Attributi intercettati: //www.sofascore.com/api/v1/player/807400/attribute-overviews
2026-04-03 22:37:26,478 [INFO]   [PW] ✅ Attributi intercettati in anticipo — proseguo
2026-04-03 22:37:26,479 [INFO]   [PW] Step 4: navigazione Statistics (heatmap)...
2026-04-03 22:37:40,102 [INFO]   [PW] ⏱ Timeout heatmap passiva — userò JS fetch per competizione
2026-04-03 22:37:40,103 [INFO]   [PW] Step 5: token=✅ 24a7a8
2026-04-03 22:37:40,103 [INFO]   [PW] ✅ attribute-overviews da captured
2026-04-03 22:37:40,104 [INFO]   [PW] ✅ Attributi: 0 valori
2026-04-03 22:37:40,105 [INFO]   [PW-JS] Forcing fetch: transfer-history
2026-04-03 22:37:40,279 [INFO]   [PW-JS] OK: transfer-history
2026-04-03 22:37:40,762 [INFO]   [PW] ✅ national-team-statistics da captured
2026-04-03 22:37:40,763 [INFO]   [PW] Partite: 30
2026-04-03 22:37:40,763 [INFO]   [PW] Nazionale: 1
2026-04-03 22:37:40,764 [INFO]   [PW] Attributi da captured: 0 valori
2026-04-03 22:37:40,765 [INFO]   [PW] Trasferimenti: 18
2026-04-03 22:37:40,765 [INFO]   [PW] Trasferimenti: 18
2026-04-03 22:37:40,766 [INFO]   Competizioni trovate nelle partite: 5
2026-04-03 22:37:40,767 [INFO]     → Saudi Pro League 24/25 (tid=955, sid=63998)
2026-04-03 22:37:40,768 [INFO]     → AFC Champions League Two 24/25 (tid=668, sid=62486)
2026-04-03 22:37:40,769 [INFO]     → Club Friendly Games 2025 (tid=853, sid=69580)
2026-04-03 22:37:40,770 [INFO]     → UEFA Conference League 25/26 (tid=17015, sid=76960)
2026-04-03 22:37:40,771 [INFO]     → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:37:40,772 [INFO]   [PW] Step 7: 5 competizioni...
2026-04-03 22:37:41,775 [INFO]   [PW] → Saudi Pro League 24/25 (tid=955, sid=63998)
2026-04-03 22:37:42,034 [INFO]       ✅ Stats: 109 campi
2026-04-03 22:37:42,035 [INFO]       Navigazione heatmap: tid=955 sid=63998
2026-04-03 22:37:50,045 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:37:50,046 [INFO]       Heatmap JS fetch: unique-tournament/955/season/63998/heatmap/overall
2026-04-03 22:37:50,659 [INFO]       ✅ Heatmap JS: 615 punti
2026-04-03 22:37:50,667 [INFO]       ✅ Heatmap finale: 615 punti
2026-04-03 22:37:51,005 [INFO]   [PW] → AFC Champions League Two 24/25 (tid=668, sid=62486)
2026-04-03 22:37:51,255 [INFO]       ✅ Stats: 109 campi
2026-04-03 22:37:51,255 [INFO]       Navigazione heatmap: tid=668 sid=62486
2026-04-03 22:37:59,096 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:37:59,097 [INFO]       Heatmap JS fetch: unique-tournament/668/season/62486/heatmap/overall
2026-04-03 22:37:59,394 [INFO]       ✅ Heatmap JS: 325 punti
2026-04-03 22:37:59,395 [INFO]       ✅ Heatmap finale: 325 punti
2026-04-03 22:37:59,857 [INFO]   [PW] → Club Friendly Games 2025 (tid=853, sid=69580)
2026-04-03 22:38:00,156 [WARNING]   [PW-JS] HTTP 404: 0/unique-tournament/853/season/69580/statistics/overall
2026-04-03 22:38:00,157 [INFO]       Navigazione heatmap: tid=853 sid=69580
2026-04-03 22:38:08,186 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:38:08,191 [INFO]       Heatmap JS fetch: unique-tournament/853/season/69580/heatmap/overall
2026-04-03 22:38:08,461 [INFO]       ✅ Heatmap JS: 76 punti
2026-04-03 22:38:08,462 [INFO]       ✅ Heatmap finale: 76 punti
2026-04-03 22:38:08,929 [INFO]   [PW] → UEFA Conference League 25/26 (tid=17015, sid=76960)
2026-04-03 22:38:09,136 [WARNING]   [PW-JS] HTTP 404: unique-tournament/17015/season/76960/statistics/overall
